"Date","Author","Action","Object","Case","Following request (Thread Context)","Occurrence (Status)","Original Message"
"2025-12-05","kate03646","Check","Samples","Fake","@24x7   please check with Nalia on","Resolved","please check with Nalia on direct acc  2 fakes..."
"2025-12-05","dariakornitska","Check","Samples","SIM","No Thread","Pending","@24x7 pls check what happend to DRC SIM..."
"2025-12-05","vaska6665","Migration","N/A","Ticket","@Vasil Lobetskiy [VXT-401-78226](http","In Thread","[VXT-401-78226](http://hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/36678/inbox/4/1/-1) QXTEL IP..."
"2025-12-05","kate03646","Other","N/A","General Request","@24x7 допоможіть пліз знайти ріщення в","In Thread","допоможіть пліз знайти ріщення в чаті з текомсою шоб тести і наші, і клієнта пройшли, бо я сама не в..."
"2025-12-05","dariakornitska","Other","CM","General Request","@Daria Kornitska CM - Russia - CR drop","In Thread","CM - Russia - CR drop..."
"2025-12-04","jadyahya_51832","Testing","libya and got rejected can u check why","SS7","@24x7 wii tested our ss7 to libya and","Resolved","wii tested our ss7 to libya and got rejected can u check why..."
"2025-12-04","kate03646","Other","шо там з Узбеком сім?","General Request","@24x7 шо там з Узбеком сім?","In Thread","шо там з Узбеком сім?..."
"2025-12-04","nihigos","Check","Samples","Support","No Thread","Pending","@24x7 hello , can u pls check IMLINK..."
"2025-12-04","dariakornitska","Check","Samples","DLR","@24x7 pls check what happend to DRC SIM","Resolved","pls check what happend to DRC SIM, dlr very low..."
"2025-12-04","mina_82194_72641","Check","Samples","Testing","@24x7 hello , can u pls check IMLINK","Resolved","hello , can u pls check IMLINK test why faild  690b27cc-fa06-2629-7015-a0d1caa1f6e4 690b27cc-e004-99..."
"2025-12-04","serhii_labur","Other","N/A","General Request","@24x7  будь ласка запросіть скріншоти","Resolved","будь ласка запросіть скріншоти на Узбекистан..."
"2025-12-04","nihigos","Other","General Support","Support","No Thread","Pending","@24x7 teways poland висить в буфері?..."
"2025-12-04","dariakornitska","Other","N/A","General Request","@24x7 teways poland висить в буфері?","Resolved","teways poland висить в буфері?..."
"2025-12-04","nihigos","Other","General Support","Support","No Thread","Pending","@24x7 please sent complain in chat to..."
"2025-12-04","kate03646","Test","N/A","Testing","@24x7 please sent complain in chat to","Resolved","please sent complain in chat to tecomsa for undelivs on Uzbekistan (harisma tested today)..."
"2025-12-04","dariakornitska","Check","Samples","Quality Check","@24x7 Teways France check pls","Resolved","Teways France check pls  2/4/2025 8:55:45 AM\u2003\u20030b756e0e-faa0-4a1d-b72e-1ca40f3dc4e4\u2003\u..."
"2025-12-03","dariakornitska","Test","test Italy pls","Testing","@24x7 help me to test Italy pls","In Thread","help me to test Italy pls..."
"2025-12-03","marhaba7177","Other","DC Issue","Support","[VXT-609-56540](http://hd.xgsm.org/staff","In Thread","[VXT-609-56540](http://hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/36613/inbox/4/1/-1/0) Vesper..."
"2025-12-03","kate03646","Check","Samples","Route","@24x7  please check why went to no","Resolved","please check why went to no routes 79954887704 79954886697..."
"2025-12-03","alisadzic_96301","Migration","N/A","Ticket","@Alisa Dzic [VXT-662-20178](http://hd.","In Thread","[VXT-662-20178](http://hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/36595/inbox/4/11/-1) Anymess..."
"2025-12-03","oleg_93830","Other","Phone Number","Support","No Thread","Pending","here is a live number for Uganda MTN  +256778129853 - MTN..."
"2025-12-03","dariakornitska","Check","Samples","Route","@24x7 can u pls check malawi route, c,","Resolved","can u pls check malawi route, c, complaints about 0 cr..."
"2025-12-03","kate03646","Add","Phone Number","General Request","@24x7  please check","Resolved","please check  Timestamp Message-Id Source Address Destination Address Issue 2025-12-03 09:23:12 690b..."
"2025-12-03","mina_82194_72641","Check","Samples","SIM","@24x7 Hello team , WIC test our sim","In Thread","Hello team , WIC test our sim yesterday and they face issue , can u pls check if we have live number..."
"2025-12-03","kate03646","Other","technexa","General Request","@Kate Ilienko technexa - russia votp","In Thread","technexa - russia votp..."
"2025-12-02","mina_82194_72641","Check","Samples","Route","@24x7  team can u pls help and check","In Thread","team can u pls help and check with BBT TPS on HQ Australia route? cleint need 500TPS , can u pls che..."
"2025-12-02","kate03646","Other","Tech nexa russia","General Request","@Kate Ilienko Tech nexa russia","In Thread","Tech nexa russia..."
"2025-12-02","jadyahya_51832","Testing","N/A","SS7","@24x7 is libya almadar from our ss7","In Thread","is libya almadar from our ss7 list working today..."
"2025-12-02","alisadzic_96301","Other","N/A","Connectivity","No Thread","Resolved","Hello team, please asign the following acounts to @Vasil Lobetski AMA Telecom, Core Telecom,Digital ..."
"2025-12-02","dariakornitska","Raise","Phone Number","General Request","@24x7 9779868922195 pls raise with","Resolved","9779868922195 pls raise with acorn faek on nepal..."
"2025-12-02","kate03646","Other","N/A","General Request","@24x7  є новини від крістеча по малаві","Resolved","є новини від крістеча по малаві? вчора таду жалілись шо ср дропнув..."
"2025-12-01","peperohka","Other","General Support","Support","[VXT-560-66995](http://hd.xgsm.org/staff","In Thread","[VXT-560-66995](http://hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/36501/inbox/4/1/-1) Account ..."
"2025-12-01","kate03646","Other","N/A","General Request","@24x7  а там траф від текомси на","Resolved","а там траф від текомси на харізму (Єгипет) - там нема нічо типу різниці в мнс у нас? бо шось таке ди..."
"2025-12-01","kate03646","Other","Phone Number","General Request","@24x7  гляньте пліз чому тести не","Resolved","гляньте пліз чому тести не проходять 601159497947     601159218708     на бсг..."
"2025-12-01","peperohka","Maintenance Notification","Ticket","Notification","@sms_sales VXT-789-94189 Scarpel","In Thread","VXT-789-94189 Scarpel  Notification: Planned maintenance works on Beeline, Russia, 04.12.2025..."
"2025-12-01","kate03646","Other","N/A","General Request","@24x7  там тегаєте мунітел про Габон","In Thread","там тегаєте мунітел про Габон - якшо то для харізми- то змінила поставву. можете відписать їм бо не ..."
"2025-12-01","kate03646","Other","N/A","General Request","No Thread","Resolved","закрите пліз тт від бсг на рф- де на підміну сіда на вербінд пішло - я змінила поставу там..."
"2025-12-01","kate03646","Check","Samples","Fake","@24x7  please check client got fake","Resolved","please check client got fake over spain sim 34679036573    29\\11..."
"2025-12-01","dariakornitska","Other","CM","General Request","@Daria Kornitska CM - Ukraine - CR","In Thread","CM - Ukraine - CR drop..."
"2025-12-01","marhaba7177","Maintenance Notification","Ticket","Notification","[VXT-567-14964](http://hd.xgsm.org/staff","In Thread","[VXT-567-14964](http://hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/36454/inbox/4/1/-1/0) Swipe ..."
"2025-11-30","serhii_labur","Other","вийшло дякую)","General Request","No Thread","Pending","вийшло дякую)..."
"2025-11-30","serhii_labur","Other","N/A","General Request","ввожу логін пароль, нажимаю ""Enter"" і","In Thread","ввожу логін пароль, нажимаю ""Enter"" і нічого не відбувається(..."
"2025-11-30","serhii_labur","Other","N/A","General Request","No Thread","Pending","з Аларісом все добре ? я не можу зайти (..."
"2025-11-30","nihigos","Other","Rate","Support","66 - Slovakia - Rate","In Thread","66 - Slovakia - Rate..."
"2025-11-29","marhaba7177","Check","Samples","Support","No Thread","Pending","@24x7 check pls teways client..."
"2025-11-29","dariakornitska","Check","Phone Number","Fake","@24x7 check pls teways client","Resolved","check pls teways client   please for phil globe you are setting ,  it’s not pure twilio , 6391637434..."
"2025-11-28","dariakornitska","Other","binds with teways are up?","Connectivity","@24x7 binds with teways are up?","Resolved","binds with teways are up?..."
"2025-11-28","kate03646","Check","Samples","Fake","@24x7 pls check fakes","Resolved","pls check fakes  2025-11-28 11:04:32    Pinco    77075443702    SENT    Pending 2025-11-28 11:04:38 ..."
"2025-11-28","jadyahya_51832","Other","Route","Route","@24x7 guys is our malawi sim route","In Thread","guys is our malawi sim route still working?..."
"2025-11-28","serhii_labur","Other","N/A","General Request","@24x7  Будь ласка додайте пошту mykyta","Resolved","Будь ласка додайте пошту mykyta.korovkin@frixxion.com для відправтки ТТ для компанії Frixxion. не ср..."
"2025-11-28","kate03646","Other","N/A","Spam/Block","@24x7 глянь пліз чому смс від bsg spam","Resolved","глянь пліз чому смс від bsg spam на Узбекистан відбились на hq vendora  срочненько, якшо можна..."
"2025-11-28","jadyahya_51832","Test","is the testing tool down ?","Testing","@24x7 is the testing tool down ?","In Thread","is the testing tool down ?..."
"2025-11-28","dariakornitska","Other","66 turkey","General Request","@Daria Kornitska 66 turkey","In Thread","66 turkey..."
"2025-11-27","serhii_labur","Other","Phone Number","Fake","@24x7 please TT for GoBest, Fake DLR,","Resolved","please TT for GoBest, Fake DLR, Denmark 4555208254 4550134195 4560672724 4571945710..."
"2025-11-27","kate03646","Other","ok telecom","Spam/Block","@Kate Ilienko ok telecom - Australia","In Thread","ok telecom - Australia - spam..."
"2025-11-27","dariakornitska","Other","тімс гляньте пліз","General Request","@24x7 тімс гляньте пліз","Resolved","тімс гляньте пліз..."
"2025-11-27","kate03646","Other","N/A","General Request","No Thread","Resolved","попросіть пліз Харізму перетестувать Габон, не може знайти той тред. я там замінила поставу..."
"2025-11-27","razved4ik.","Other","N/A","General Request","No Thread","Pending","@Roman Luzko kyky ці сс7 ще живі?..."
"2025-11-27","razved4ik.","Other","N/A","General Request","@Roman Luzko kyky ці сс7 ще живі?","Resolved","kyky ці сс7 ще живі?  Ghana Glo Mobile  Central African Republic\xa0Telecel..."
"2025-11-27","serhii_labur","Other","N/A","Finance","@Serhii Labur VXT-928-87984 1Wordtec","In Thread","VXT-928-87984 1Wordtec Payment Reminder..."
"2025-11-27","kate03646","Other","N/A","General Request","@24x7 Привіт! а у нас є живі номери на","Resolved","Привіт! а у нас є живі номери на Уганду сімку від пресаза? і чи жива вона зараз?..."
"2025-11-27","dariakornitska","Other","CM","General Request","@Daria Kornitska CM - Ukraine - CR 0","Resolved","CM - Ukraine - CR 0..."
"2025-11-26","nihigos","Maintenance Notification","Ticket","Notification","[VXT-349-77355](http://hd.xgsm.org/staff","In Thread","[VXT-349-77355](http://hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/36326/inbox/4/1/-1) Maintena..."
"2025-11-25","mina_82194_72641","Check","Samples","DLR","@24x7 team can u pls check these numbers","Resolved","team can u pls check these numbers if its really not active ??  639160131694 - 639160155150  6391601..."
"2025-11-25","marhaba7177","Maintenance Notification","Ticket","Notification","@sms_sales [VXT-775-86070](http://hd.","In Thread","[VXT-775-86070](http://hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/36268/inbox/4/1/-1/0) Qooliz..."
"2025-11-24","dariakornitska","Other","N/A","Ticket","@Daria Kornitska [VXT-231-17063](http","In Thread","[VXT-231-17063](http://hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/36235/inbox/4/1/-1/0) Phishi..."
"2025-11-24","dariakornitska","Other","66 vendors","General Request","@Daria Kornitska 66 vendors","In Thread","66 vendors..."
"2025-11-24","kate03646","Other","N/A","Ticket","@Kate Ilienko BSG HONG KONG","In Thread","BSG HONG KONG  email error [VXT-924-98828](http://hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/3..."
"2025-11-24","razved4ik.","Other","N/A","General Request","No Thread","Pending","@Roman Luzko BELARUS AND KENYA and..."
"2025-11-24","razved4ik.","Testing","ss7","SS7","@Roman Luzko BELARUS AND KENYA and","Resolved","BELARUS AND KENYA and chance for ss7..."
"2025-11-24","serhii_labur","Send","Phone Number","Ticket","@24x7  Please send TT to Mitto","Resolved","Please send TT to Mitto  Tajikistan pending 992100082587 992935322701 992111020080 992770911486 9929..."
"2025-11-24","smilekname","Check","Samples","Support","No Thread","Pending","@24x7 guys can yoyu please check if..."
"2025-11-24","jadyahya_51832","Check","Samples","Connectivity","@24x7 guys can yoyu please check if","Resolved","guys can yoyu please check if the 78 msgs connected to hlr on hong kong from 66bulksms were all bad ..."
"2025-11-22","nihigos","Maintenance Notification","Ticket","Notification","[VXT-889-38885](http://hd.xgsm.org/staff","In Thread","[VXT-889-38885](http://hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/36167/inbox/4/1/-1) Sempico ..."
